NEW_LANGUAGE_ISSUE,PARTICIPANTS,DURATION,OLD_LANGUAGE_ISSUE,RELATED_LEVEL,RELATED_CLASS,ISSUE_ASKER,PYTHON_USER,R_USER,MULTI-LANGUAGE_USER
https://github.com/aloysius-lim/bigrf/issues/1,1,8,https://github.com/scikit-learn/scikit-learn/issues/571,R,R,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/10,2,4,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/11,1,1,https://github.com/scikit-learn/scikit-learn/issues/2458,O,O,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/12,2,2,https://github.com/scikit-learn/scikit-learn/issues/538,Y,B,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/13,3,14,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/14,2,2,https://github.com/scikit-learn/scikit-learn/issues/1732,O,O,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/15,3,488,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/16,4,214,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/17,2,6,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/18,1,1,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/19,1,1,https://github.com/scikit-learn/scikit-learn/issues/1729,Y,G,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/2,2,2,https://github.com/scikit-learn/scikit-learn/issues/6665,Y,Y,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/20,2,1,https://github.com/scikit-learn/scikit-learn/issues/5940,Y,P,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/3,1,1,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/4,2,1,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/5,3,453,https://github.com/scikit-learn/scikit-learn/issues/5181,R,O,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/6,3,1659,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/7,3,768,https://github.com/scikit-learn/scikit-learn/issues/5115,Y,P,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/8,4,481,None,W,W,aloysius-lim,1,1,1
https://github.com/aloysius-lim/bigrf/issues/9,2,2,None,W,W,aloysius-lim,1,1,1
https://github.com/Dani-Basta/TFG/issues/1,2,1,None,W,W,Dani-Basta,1,1,1
https://github.com/Dani-Basta/TFG/issues/2,1,1,https://github.com/scikit-learn/scikit-learn/issues/23,O,O,Dani-Basta,1,1,1
https://github.com/Dani-Basta/TFG/issues/3,1,1,None,W,W,Dani-Basta,1,1,1
https://github.com/eaHat/classyfire/issues/1,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/10,1,1,https://github.com/scikit-learn/scikit-learn/issues/1304,R,O,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/11,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/12,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/13,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/14,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/15,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/16,0,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/17,0,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/2,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/3,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/4,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/5,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/6,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/7,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/8,1,1,None,W,W,eaHat,1,1,1
https://github.com/eaHat/classyfire/issues/9,1,1,None,W,W,eaHat,1,1,1
https://github.com/zmjones/edarf/issues/1,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/10,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/11,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/12,2,11,https://github.com/scikit-learn/scikit-learn/issues/97,O,O,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/13,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/14,2,86,https://github.com/scikit-learn/scikit-learn/issues/1381,Y,B,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/15,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/16,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/17,1,83,https://github.com/scikit-learn/scikit-learn/issues/2861,Y,B,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/18,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/19,2,269,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/2,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/20,1,1,https://github.com/scikit-learn/scikit-learn/issues/4546,Y,R,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/21,2,2,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/22,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/23,2,42,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/24,1,1,https://github.com/scikit-learn/scikit-learn/issues/4114,Y,O,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/25,2,7,https://github.com/scikit-learn/scikit-learn/issues/5653,Y,O,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/26,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/27,1,27,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/28,2,1,https://github.com/scikit-learn/scikit-learn/issues/5041,O,O,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/29,1,5,https://github.com/scikit-learn/scikit-learn/issues/5653,O,O,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/3,1,174,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/30,2,31,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/31,1,2,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/32,1,9,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/33,1,13,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/34,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/35,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/36,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/37,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/38,2,97,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/39,2,12,https://github.com/scikit-learn/scikit-learn/issues/798,Y,G,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/4,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/40,1,215,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/41,1,3,https://github.com/scikit-learn/scikit-learn/issues/97,Y,O,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/42,1,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/43,2,2,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/44,2,192,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/45,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/46,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/47,2,2,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/48,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/49,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/5,2,2,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/50,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/51,2,2,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/52,2,1,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/53,2,1,https://github.com/scikit-learn/scikit-learn/issues/2923,Y,Y,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/54,2,5,https://github.com/scikit-learn/scikit-learn/issues/1732,R,O,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/55,2,108,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/56,2,2,https://github.com/scikit-learn/scikit-learn/issues/6767,O,R,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/57,2,5,https://github.com/scikit-learn/scikit-learn/issues/3313,O,Y,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/6,1,22,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/7,1,141,https://github.com/scikit-learn/scikit-learn/issues/970,R,O,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/8,1,19,None,W,W,zmjones,1,1,1
https://github.com/zmjones/edarf/issues/9,1,1,None,W,W,zmjones,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/1,2,2,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/10,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/11,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/12,1,1,https://github.com/scikit-learn/scikit-learn/issues/5041,R,O,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/13,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/14,1,1,https://github.com/scikit-learn/scikit-learn/issues/7091,O,Y,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/15,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/16,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/17,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/18,1,54,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/19,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/2,2,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/20,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/21,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/22,1,1,None,W,W,ehrlinger,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/23,1,1,None,W,W,ehrlinger,1,1,1
