NEW_LANGUAGE_ISSUE,#PARTICIPANTS,DURATION,OLD_LANGUAGE_ISSUE,3ELATED_LEVEL,RELATED_CLASS,ISSUE_ASKER,PYTHON_USER,R_USER,MULTI-LANGUAGE_USER,HELPFUL_WAY,CODE,REFERENCE,DESCRIPTION,CODE_DOCUMENT,OUTER_LINK,RELATED_ISSUE
https://github.com/aloysius-lim/bigrf/issues/11,1,1,https://github.com/scikit-learn/scikit-learn/issues/2458,2,O,aloysius-lim,1,1,1,C,1,0,1,1,1,1
https://github.com/aloysius-lim/bigrf/issues/14,2,2,https://github.com/scikit-learn/scikit-learn/issues/1732,2,O,aloysius-lim,1,1,1,C,1,0,1,1,1,0
https://github.com/Dani-Basta/TFG/issues/2,1,1,https://github.com/scikit-learn/scikit-learn/issues/23,2,O,Dani-Basta,1,1,1,E,1,1,1,0,1,0
https://github.com/zmjones/edarf/issues/12,2,11,https://github.com/scikit-learn/scikit-learn/issues/97,2,O,zmjones,1,1,1,E,1,0,1,1,1,0
https://github.com/zmjones/edarf/issues/28,2,1,https://github.com/scikit-learn/scikit-learn/issues/5041,2,O,zmjones,1,1,1,C,1,0,1,0,0,1
https://github.com/zmjones/edarf/issues/29,1,5,https://github.com/scikit-learn/scikit-learn/issues/5653,2,O,zmjones,1,1,1,E,1,0,1,0,1,1
https://github.com/zmjones/edarf/issues/56,2,2,https://github.com/scikit-learn/scikit-learn/issues/6767,2,R,zmjones,1,1,1,A,1,0,1,0,0,0
https://github.com/zmjones/edarf/issues/57,2,5,https://github.com/scikit-learn/scikit-learn/issues/3313,2,Y,zmjones,1,1,1,C,1,0,1,0,1,0
https://github.com/ehrlinger/ggRandomForests/issues/14,1,1,https://github.com/scikit-learn/scikit-learn/issues/7091,2,Y,ehrlinger,1,1,1,C,0,0,1,0,1,1
https://github.com/grf-labs/grf/issues/137,2,17,https://github.com/scikit-learn/scikit-learn/issues/1435,2,O,jasonhuang99,0,0,0,E,0,0,1,0,1,1
https://github.com/grf-labs/grf/issues/182,1,1,https://github.com/scikit-learn/scikit-learn/issues/2747,2,O,jtibshirani,1,0,1,A,1,0,1,0,1,0
https://github.com/grf-labs/grf/issues/231,1,1,https://github.com/scikit-learn/scikit-learn/issues/5041,2,O,jtibshirani,1,0,1,C,1,0,1,0,1,1
https://github.com/grf-labs/grf/issues/260,1,4,https://github.com/scikit-learn/scikit-learn/issues/3808,2,P,jtibshirani,1,0,1,E,0,0,1,1,1,0
https://github.com/grf-labs/grf/issues/278,3,1,https://github.com/scikit-learn/scikit-learn/issues/5491,2,O,jtibshirani,1,0,1,B,1,1,1,1,1,0
https://github.com/grf-labs/grf/issues/286,4,33,https://github.com/scikit-learn/scikit-learn/issues/6261,2,O,Buyannemekh,1,1,1,A,1,0,1,0,0,1
https://github.com/grf-labs/grf/issues/292,2,1,https://github.com/scikit-learn/scikit-learn/issues/3817,2,B,tibshirani,0,1,1,A,1,0,1,0,0,0
https://github.com/grf-labs/grf/issues/298,1,1,https://github.com/scikit-learn/scikit-learn/issues/6338,2,O,jtibshirani,1,0,1,A,1,0,1,0,1,1
https://github.com/grf-labs/grf/issues/39,1,1,https://github.com/scikit-learn/scikit-learn/issues/3645,2,O,swager,1,1,1,A,1,1,1,0,0,1
https://github.com/imbs-hl/ranger/issues/139,3,761,https://github.com/scikit-learn/scikit-learn/issues/2089,2,R,mayer79,1,1,1,A,1,0,1,0,0,0
https://github.com/imbs-hl/ranger/issues/2,2,32,https://github.com/scikit-learn/scikit-learn/issues/5041,2,O,mbq,0,1,1,C,1,0,1,0,1,1
https://github.com/imbs-hl/ranger/issues/20,1,1,https://github.com/scikit-learn/scikit-learn/issues/1942,2,O,mnwright,0,1,1,A,1,0,1,0,0,1
https://github.com/imbs-hl/ranger/issues/238,2,48,https://github.com/scikit-learn/scikit-learn/issues/1435,2,O,Tigroux,0,0,0,E,1,0,1,0,0,1
https://github.com/imbs-hl/ranger/issues/270,1,1,https://github.com/scikit-learn/scikit-learn/issues/1454,2,O,RohitThakur01,1,0,0,C,1,0,1,0,0,1
https://github.com/KlausVigo/kknn/issues/17,1,1,https://github.com/scikit-learn/scikit-learn/issues/2356,2,R,KlausVigo,1,1,1,C,1,0,1,0,1,0
https://github.com/kogalur/randomForestSRC/issues/16,2,199,https://github.com/scikit-learn/scikit-learn/issues/6747,2,O,kogalur,0,0,0,B,1,1,1,0,1,1
https://github.com/neurodata/lumberjack/issues/25,1,1,https://github.com/scikit-learn/scikit-learn/issues/5041,2,O,jbrowne6,0,1,1,C,1,0,1,0,1,1
https://github.com/neurodata/lumberjack/issues/39,1,1,https://github.com/scikit-learn/scikit-learn/issues/1732,2,O,jbrowne6,0,1,1,C,1,0,1,1,1,0
https://github.com/neurodata/lumberjack/issues/78,1,1,https://github.com/scikit-learn/scikit-learn/issues/1806,2,B,MrAE,1,1,1,A,1,0,1,1,1,1
https://github.com/sorhawell/forestFloor/issues/15,1,1,https://github.com/scikit-learn/scikit-learn/issues/1732,2,O,sorhawell,0,1,1,C,1,0,1,1,1,0
https://github.com/sorhawell/forestFloor/issues/28,1,1,https://github.com/scikit-learn/scikit-learn/issues/3782,2,O,sorhawell,0,1,1,C,1,0,1,0,0,0
https://github.com/suiji/Arborist/issues/19,2,169,https://github.com/scikit-learn/scikit-learn/issues/571,2,R,suiji,0,1,0,A,1,0,1,0,0,0
https://github.com/suiji/Arborist/issues/8,2,2,https://github.com/scikit-learn/scikit-learn/issues/5491,2,O,suiji,0,1,0,C,1,1,1,1,1,0
https://github.com/aloysius-lim/bigrf/issues/1,1,8,https://github.com/scikit-learn/scikit-learn/issues/571,3,R,aloysius-lim,1,1,1,A,1,0,1,0,0,0
https://github.com/aloysius-lim/bigrf/issues/5,3,453,https://github.com/scikit-learn/scikit-learn/issues/5181,3,O,aloysius-lim,1,1,1,B,1,1,1,1,1,0
https://github.com/eaHat/classyfire/issues/10,1,1,https://github.com/scikit-learn/scikit-learn/issues/1304,3,O,eaHat,1,1,1,C,1,1,1,0,1,1
https://github.com/zmjones/edarf/issues/54,2,5,https://github.com/scikit-learn/scikit-learn/issues/1732,3,O,zmjones,1,1,1,C,1,0,1,1,1,0
https://github.com/zmjones/edarf/issues/7,1,141,https://github.com/scikit-learn/scikit-learn/issues/970,3,O,zmjones,1,1,1,C,1,0,1,1,1,0
https://github.com/ehrlinger/ggRandomForests/issues/12,1,1,https://github.com/scikit-learn/scikit-learn/issues/5041,3,O,ehrlinger,1,1,1,C,1,0,1,0,0,1
https://github.com/ehrlinger/ggRandomForests/issues/26,1,1,https://github.com/scikit-learn/scikit-learn/issues/3298,3,O,ehrlinger,1,1,1,B,0,1,1,1,1,1
https://github.com/ehrlinger/ggRandomForests/issues/7,1,1,https://github.com/scikit-learn/scikit-learn/issues/2154,3,O,ehrlinger,1,1,1,D,0,0,1,1,0,1
https://github.com/grf-labs/grf/issues/142,1,1,https://github.com/scikit-learn/scikit-learn/issues/448,3,O,jtibshirani,1,0,1,E,1,0,1,1,1,0
https://github.com/grf-labs/grf/issues/322,2,1,https://github.com/scikit-learn/scikit-learn/issues/6394,3,O,jtibshirani,1,0,1,E,0,0,1,1,1,0
https://github.com/grf-labs/grf/issues/53,1,1,https://github.com/scikit-learn/scikit-learn/issues/941,3,O,jtibshirani,1,0,1,A,1,0,1,0,0,1
https://github.com/grf-labs/grf/issues/54,1,1,https://github.com/scikit-learn/scikit-learn/issues/941,3,O,jtibshirani,1,0,1,A,1,0,1,0,1,1
https://github.com/grf-labs/grf/issues/73,1,1,https://github.com/scikit-learn/scikit-learn/issues/3735,3,B,jtibshirani,1,0,1,D,1,1,1,1,1,1
https://github.com/grf-labs/grf/issues/95,1,1,https://github.com/scikit-learn/scikit-learn/issues/1998,3,P,jtibshirani,1,0,1,D,1,0,1,1,0,0
https://github.com/imbs-hl/ranger/issues/133,5,661,https://github.com/scikit-learn/scikit-learn/issues/1732,3,O,while,1,1,1,C,1,0,1,1,1,0
https://github.com/imbs-hl/ranger/issues/15,2,51,https://github.com/scikit-learn/scikit-learn/issues/5974,3,O,giuseppec,1,1,1,E,1,1,1,0,1,1
https://github.com/imbs-hl/ranger/issues/195,2,1,https://github.com/scikit-learn/scikit-learn/issues/2937,3,O,prescient,1,1,1,C,1,1,1,1,1,0
https://github.com/KlausVigo/kknn/issues/1,2,8,https://github.com/scikit-learn/scikit-learn/issues/970,3,O,KlausVigo,1,1,1,C,1,0,1,1,1,1
https://github.com/KlausVigo/kknn/issues/14,2,134,https://github.com/scikit-learn/scikit-learn/issues/3252,3,R,KlausVigo,1,1,1,A,1,0,1,0,0,0
https://github.com/kogalur/randomForestSRC/issues/3,2,73,https://github.com/scikit-learn/scikit-learn/issues/3774,3,R,kogalur,0,0,0,F,0,0,1,1,1,1
https://github.com/neurodata/lumberjack/issues/13,1,1,https://github.com/scikit-learn/scikit-learn/issues/7406,3,O,ttomita,1,1,1,A,1,0,1,0,0,1
https://github.com/neurodata/lumberjack/issues/24,2,1,https://github.com/scikit-learn/scikit-learn/issues/5870,3,R,jbrowne6,0,1,1,B,1,1,1,1,1,1
https://github.com/neurodata/lumberjack/issues/31,1,1,https://github.com/scikit-learn/scikit-learn/issues/2488,3,O,jbrowne6,0,1,1,A,1,0,1,0,1,0
https://github.com/neurodata/lumberjack/issues/61,2,1,https://github.com/scikit-learn/scikit-learn/issues/5212,3,O,jovo,1,1,1,F,0,1,1,0,0,1
https://github.com/neurodata/lumberjack/issues/73,1,1,https://github.com/scikit-learn/scikit-learn/issues/2493,3,O,jovo,1,1,1,A,1,0,1,0,1,1
https://github.com/rsquaredacademy/blorr/issues/11,1,1,https://github.com/scikit-learn/scikit-learn/issues/6545,3,O,aravindhebbali,1,1,1,B,0,1,1,0,1,1
https://github.com/rsquaredacademy/blorr/issues/12,1,1,https://github.com/scikit-learn/scikit-learn/issues/6545,3,O,aravindhebbali,1,1,1,B,0,1,1,0,1,1
https://github.com/rsquaredacademy/blorr/issues/23,1,1,https://github.com/scikit-learn/scikit-learn/issues/1942,3,O,aravindhebbali,1,1,1,A,1,0,1,0,0,1
https://github.com/szilard/benchm-ml/issues/10,2,1,https://github.com/scikit-learn/scikit-learn/issues/6473,3,O,szilard,1,1,1,C,1,0,1,1,0,1
https://github.com/aloysius-lim/bigrf/issues/12,2,2,https://github.com/scikit-learn/scikit-learn/issues/538,1,B,aloysius-lim,1,1,1,C,1,1,1,1,1,1
https://github.com/aloysius-lim/bigrf/issues/19,1,1,https://github.com/scikit-learn/scikit-learn/issues/1729,1,G,aloysius-lim,1,1,1,C,0,0,1,0,0,0
https://github.com/aloysius-lim/bigrf/issues/2,2,2,https://github.com/scikit-learn/scikit-learn/issues/6665,1,Y,aloysius-lim,1,1,1,C,1,0,1,0,0,0
https://github.com/aloysius-lim/bigrf/issues/20,2,1,https://github.com/scikit-learn/scikit-learn/issues/5940,1,P,aloysius-lim,1,1,1,C,0,0,1,0,0,0
https://github.com/aloysius-lim/bigrf/issues/7,3,768,https://github.com/scikit-learn/scikit-learn/issues/5115,1,P,aloysius-lim,1,1,1,E,1,0,1,1,1,1
https://github.com/zmjones/edarf/issues/14,2,86,https://github.com/scikit-learn/scikit-learn/issues/1381,1,B,zmjones,1,1,1,A,1,0,1,0,1,1
https://github.com/zmjones/edarf/issues/17,1,83,https://github.com/scikit-learn/scikit-learn/issues/2861,1,B,zmjones,1,1,1,C,1,0,1,0,0,1
https://github.com/zmjones/edarf/issues/20,1,1,https://github.com/scikit-learn/scikit-learn/issues/4546,1,R,zmjones,1,1,1,C,1,0,1,0,0,0
https://github.com/zmjones/edarf/issues/24,1,1,https://github.com/scikit-learn/scikit-learn/issues/4114,1,O,zmjones,1,1,1,C,1,0,1,0,0,1
